age,nationality,current_residence,marital_status,dependents,education_level,occupation,work_experience_years,sponsorship_status,financial_status,language_proficiency,purpose_of_travel,intended_duration,travel_history,target_country,visa_category (Label),previous_visa_rejections,criminal_record_check,medical_exam_status,document_completeness_score,visa_fee_payment_status,processing_time_days
29.0,Ethiopia,France,Divorced,0.0,High School,Engineer,39.0,Unknown,Medium,IELTS 8.5,Work,730,Clean,UK,Work,0,Clear,Passed,97,Paid,64
56.0,South Africa,UAE,Married,3.0,High School,Farmer,5.0,Job Offer,High,IELTS 6.0,Study,365,Clean,Canada,Student,0,Clear,Pending,75,Paid,64
40.0,China,Chile,Married,1.0,Master,Sales,31.0,Unknown,Medium,IELTS 5.0,Special,30,Clean,Germany,Special,0,Clear,Passed,66,Paid,45
55.0,Belgium,South Korea,Married,1.0,Bachelor,Designer,3.0,Family Sponsor,High,Unknown,Family,30,Clean,US,Family,0,Clear,Passed,88,Paid,39
64.0,Venezuela,Spain,Married,5.0,High School,Artist,30.0,Unknown,High,TOEFL 84,Work,730,Clean,UK,Work,0,Clear,Passed,75,Paid,75
56.0,Honduras,Mexico,Single,3.0,High School,Analyst,7.0,University Admission,High,TOEFL 106,PR,30,Previous Visa,US,PR,0,Clear,Passed,61,Paid,45
36.0,US,Indonesia,Single,1.0,Bachelor,Artist,33.0,Job Offer,Medium,IELTS 6.0,PR,30,Clean,US,PR,0,Clear,Passed,99,Paid,35
27.0,Belgium,UAE,Single,2.0,Bachelor,Technician,20.0,University Admission,Low,Unknown,Tourism,30,Previous Visa,UK,Visitorrr,0,Clear,Passed,74,Pending,54
45.0,Ireland,South Korea,Married,1.0,Bachelor,Manager,32.0,Unknown,Low,TOEFL 81,PR,30,Clean,Canada,PR,0,Clear,Passed,60,Paid,47
29.0,Turkey,Uruguay,Married,3.0,Bachelor,Student,39.0,Job Offer,Low,TOEFL 74,PR,30,Clean,Canada,PR,0,Clear,Passed,79,Paid,44
29.0,Narnia,Oman,Widowed,3.0,Master,Analyst,-3.0,Job Offer,High,Unknown,Study,365,Previous Visa,Germany,Student,0,Clear,Passed,65,Paid,67
22.0,France,Portugal,Married,5.0,Bachelor,Developer,20.0,Unknown,Low,IELTS 6.5,Study,365,Clean,Canada,Student,0,Clear,Passed,79,Paid,67
40.0,Sri Lanka,Austria,Single,5.0,Bachelor,Artist,28.0,Job Offer,High,IELTS 6.5,Work,730,Clean,UK,Work,1,Clear,Passed,72,Paid,82
30.0,Ghana,Singapore,Married,2.0,Master,Chef,17.0,Job Offer,Medium,IELTS 8.0,Work,730,Previous Visa,Australia,Work,0,Clear,Passed,79,Paid,70
61.0,South Africa,Venezuela,Married,5.0,Master,Manager,40.0,Job Offer,Medium,IELTS 8.5,Work,730,Clean,Australia,Work,0,Clear,Passed,65,Pending,78
21.0,Indonesia,Guatemala,Single,5.0,PhD,Doctor,0.0,University Admission,Medium,Unknown,Tourism,30,Previous Visa,Canada,Visitor,0,Clear,Passed,100,Paid,43
42.0,Paraguay,UK,Married,2.0,High School,Analyst,31.0,Job Offer,Medium,IELTS 6.5,Work,730,Clean,UK,Work,0,Clear,Passed,98,Pending,69
40.0,US,China,Married,4.0,Bachelor,Artist,33.0,Unknown,Medium,IELTS 6.0,Work,730,Clean,US,Work,0,Clear,Passed,99,Paid,68
61.0,Bangladesh,Vietnam,Married,5.0,Master,Accountant,32.0,University Admission,High,TOEFL 115,Work,730,Clean,Canada,Work,0,Clear,Passed,93,Paid,76
42.0,Japan,Sri Lanka,Single,2.0,PhD,Engineer,37.0,Job Offer,Medium,IELTS 6.5,Study,365,Clean,Germany,Visitorrr,0,Clear,Passed,76,Paid,69
58.0,Sweden,Norway,Single,0.0,High School,Accountant,32.0,University Admission,Low,IELTS 8.0,Work,730,Clean,US,Work,2,Minor Offense,Passed,65,Paid,87
25.0,Poland,Austria,Single,1.0,High School,Artist,35.0,Job Offer,High,IELTS 7.0,Work,730,Clean,Australia,Work,2,Clear,Passed,98,Paid,86
19.0,Thailand,Kenya,Single,5.0,Bachelor,Artist,37.0,Family Sponsor,Medium,IELTS 5.0,Work,730,Clean,Canada,Work,1,Clear,Passed,86,Paid,76
65.0,Bangladesh,Guatemala,Single,3.0,Master,Designer,16.0,Family Sponsor,High,IELTS 8.0,Work,730,Clean,UK,Work,0,Minor Offense,Passed,63,Paid,78
27.0,Germany,Brazil,Married,1.0,Bachelor,Engineer,26.0,Unknown,Medium,TOEFL 97,Family,30,Clean,Australia,Family,0,Clear,Passed,90,Pending,36
54.0,Sri Lanka,Oman,Widowed,2.0,Master,Sales,16.0,Unknown,Medium,IELTS 6.0,Study,365,Previous Visa,US,Student,0,Clear,Passed,88,Paid,63
20.0,Unknown,Peru,Single,5.0,PhD,Designer,4.0,Job Offer,High,TOEFL ABC,PR,30,Previous Visa,Australia,Visitorrr,0,Clear,Passed,92,Paid,42
25.0,Switzerland,Canada,Married,0.0,Bachelor,Nurse,25.0,Job Offer,Low,TOEFL 60,Work,730,Clean,UK,Work,0,Clear,Passed,98,Pending,72
49.0,US,Narnia,Married,1.0,High School,Sales,24.0,Job Offer,Medium,Unknown,Work,730,Rejected,US,Unknown,0,Clear,Failed,98,Paid,70
19.0,South Africa,Greece,Married,4.0,Master,Farmer,0.0,Family Sponsor,Low,TOEFL 89,PR,30,Clean,Australia,PR,0,Clear,Passed,96,Paid,40
53.0,US,Saudi Arabia,Married,2.0,Master,Manager,32.0,Family Sponsor,Medium,IELTS 7.0,PR,30,Previous Visa,Canada,PR,2,Clear,Passed,68,Paid,59
39.0,Kenya,Nigeria,Married,0.0,Bachelor,Developer,24.0,Job Offer,High,TOEFL 85,Study,365,Clean,Canada,Student,0,Minor Offense,Passed,78,Paid,64
25.0,Oman,Spain,Married,3.0,PhD,Sales,0.0,Unknown,Medium,TOEFL 99,Work,730,Clean,Canada,Work,0,Clear,Failed,79,Paid,72
24.0,Bangladesh,Japan,Single,4.0,Bachelor,Accountant,9.0,University Admission,Medium,TOEFL 101,Work,730,Previous Visa,US,Work,0,Clear,Passed,60,Paid,76
63.0,New Zealand,US,Single,3.0,High School,Designer,23.0,Job Offer,Medium,TOEFL 98,Work,730,Previous Visa,Australia,Work,0,Clear,Passed,66,Paid,79
60.0,Spain,Uruguay,Single,1.0,High School,Developer,25.0,Job Offer,High,Unknown,Tourism,30,Clean,Germany,Visitor,0,Clear,Pending,84,Paid,49
25.0,Egypt,Japan,Divorced,2.0,Master,Manager,8.0,Unknown,Medium,Unknown,Tourism,30,Clean,Australia,Unknown,0,Clear,Passed,87,Paid,42
31.0,Philippines,Uruguay,Married,2.0,Bachelor,Chef,31.0,Job Offer,Medium,Unknown,Study,365,Rejected,US,Student,2,Clear,Passed,75,Paid,84
25.0,Belgium,Malaysia,Married,2.0,Master,Doctor,28.0,Unknown,High,TOEFL 94,PR,30,Clean,Canada,PR,1,Clear,Passed,94,Pending,47
44.0,Uruguay,US,Single,0.0,High School,Engineer,20.0,Unknown,Low,IELTS 5.5,Work,730,Previous Visa,Australia,Work,2,Clear,Passed,90,Paid,83
55.0,Australia,Ireland,Married,4.0,High School,Driver,14.0,University Admission,Medium,IELTS 8.0,Family,30,Clean,UK,Family,1,Clear,Passed,75,Paid,53
47.0,Sweden,Ethiopia,Widowed,1.0,Bachelor,Driver,24.0,Family Sponsor,Low,IELTS 5.0,Study,365,Clean,Canada,Student,0,Clear,Pending,97,Paid,68
20.0,Mexico,Turkey,Single,2.0,Bachelor,Designer,27.0,Family Sponsor,Medium,IELTS 7.0,Family,30,Clean,Australia,Family,2,Clear,Passed,65,Waived,63
43.0,Austria,Finland,Single,5.0,Master,Technician,23.0,Job Offer,Low,Unknown,PR,30,Rejected,Canada,PR,0,Minor Offense,Passed,78,Paid,41
57.0,Colombia,Sweden,Single,2.0,Bachelor,Sales,32.0,Family Sponsor,Low,TOEFL 92,Work,730,Rejected,Germany,Work,0,Clear,Passed,84,Pending,72
27.0,Pakistan,Chile,Single,0.0,Master,Nurse,37.0,Job Offer,High,TOEFL 69,Study,365,Clean,Australia,Student,0,Clear,Passed,95,Paid,66
28.0,Colombia,China,Single,3.0,Bachelor,Analyst,36.0,Unknown,Medium,IELTS 5.5,Work,730,Clean,Germany,Work,0,Clear,Passed,70,Paid,78
57.0,Belgium,Italy,Single,1.0,Master,Technician,38.0,Job Offer,Medium,IELTS 7.5,Work,730,Clean,Australia,Work,0,Clear,Passed,79,Paid,72
56.0,South Korea,Tunisia,Married,5.0,Bachelor,Technician,1.0,University Admission,Medium,TOEFL 68,Study,365,Previous Visa,Canada,Student,0,Clear,Passed,84,Paid,67
40.0,UAE,Paraguay,Married,5.0,Bachelor,Sales,34.0,University Admission,Medium,Unknown,Study,365,Previous Visa,UK,Student,1,Clear,Passed,78,Paid,73
28.0,South Africa,Greece,Married,1.0,High School,Doctor,18.0,Job Offer,Medium,TOEFL 96,Work,730,Previous Visa,Canada,Work,0,Clear,Passed,92,Paid,68
22.0,Colombia,Vietnam,Single,4.0,Bachelor,Technician,21.0,Unknown,Medium,TOEFL 84,Tourism,30,Previous Visa,Australia,Visitor,0,Clear,Passed,71,Paid,53
29.0,UK,Netherlands,Single,5.0,High School,Nurse,7.0,University Admission,Medium,TOEFL 112,Study,365,Clean,US,Student,0,Clear,Passed,73,Paid,74
58.0,Greece,UK,Married,2.0,PhD,Engineer,39.0,University Admission,Medium,IELTS 7.0,PR,30,Clean,Germany,PR,0,Clear,Passed,85,Paid,42
54.0,Japan,Algeria,Divorced,2.0,Master,Accountant,2.0,Job Offer,Low,IELTS 5.5,Tourism,30,Clean,Australia,Visitor,1,Clear,Passed,75,Paid,60
49.0,Morocco,Pakistan,Married,2.0,Bachelor,Analyst,23.0,Unknown,Medium,IELTS 6.5,Work,730,Clean,UK,Work,0,Clear,Passed,100,Paid,71
54.0,Spain,Guatemala,Single,1.0,Bachelor,Sales,10.0,University Admission,High,TOEFL 93,Family,30,Clean,UK,Family,3,Clear,Passed,72,Paid,64
63.0,Ireland,Norway,Married,3.0,Bachelor,Sales,33.0,Job Offer,Medium,IELTS 8.0,Work,730,Clean,US,Work,1,Clear,Passed,75,Paid,83
42.0,Indonesia,Sri Lanka,Married,3.0,Bachelor,Accountant,32.0,University Admission,High,TOEFL 82,Study,365,Rejected,UK,Unknown,0,Pending,Passed,91,Paid,71
55.0,Portugal,Chile,Married,1.0,Bachelor,Manager,22.0,University Admission,Low,TOEFL 92,PR,30,Clean,Australia,PR,0,Clear,Passed,74,Waived,45
62.0,Philippines,Qatar,Single,5.0,Bachelor,Farmer,32.0,Job Offer,Medium,IELTS 6.5,Tourism,30,Previous Visa,UK,Visitor,1,Clear,Passed,64,Paid,63
63.0,Ethiopia,Brazil,Divorced,2.0,High School,Sales,19.0,University Admission,Medium,IELTS 5.5,Study,365,Clean,UK,Student,1,Clear,Passed,61,Paid,71
60.0,China,Vietnam,Married,5.0,Bachelor,Driver,30.0,University Admission,Medium,IELTS 8.0,Work,730,Previous Visa,US,Work,1,Clear,Pending,73,Paid,84
58.0,Sri Lanka,China,Single,1.0,Bachelor,Designer,21.0,University Admission,High,IELTS 8.5,Work,730,Clean,Canada,Work,1,Clear,Pending,86,Paid,80
45.0,Canada,Honduras,Divorced,4.0,Bachelor,Engineer,16.0,Job Offer,Medium,IELTS 5.0,Work,730,Clean,Germany,Work,0,Clear,Passed,82,Paid,72
47.0,Nepal,Sweden,Divorced,4.0,Bachelor,Engineer,29.0,Job Offer,Medium,TOEFL 97,Study,365,Rejected,Germany,Student,0,Clear,Passed,76,Paid,70
32.0,Chile,New Zealand,Married,4.0,Bachelor,Nurse,28.0,Unknown,Low,TOEFL 106,Work,730,Clean,UK,Work,0,Clear,Passed,86,Paid,66
59.0,Egypt,Singapore,Single,5.0,High School,Student,12.0,University Admission,Low,IELTS 7.5,Special,30,Clean,Canada,Special,1,Clear,Passed,64,Paid,53
26.0,Turkey,Greece,Married,0.0,Master,Doctor,22.0,University Admission,High,TOEFL 70,PR,30,Clean,US,PR,0,Clear,Passed,82,Paid,44
19.0,Indonesia,Honduras,Single,1.0,Bachelor,Developer,21.0,Family Sponsor,Medium,IELTS 5.0,PR,30,Clean,Germany,PR,0,Clear,Pending,97,Paid,45
47.0,Australia,Paraguay,Single,2.0,High School,Teacher,2.0,Job Offer,Medium,TOEFL 109,Tourism,30,Rejected,UK,Visitor,0,Clear,Passed,78,Paid,47
38.0,Morocco,Kenya,Single,2.0,Bachelor,Developer,25.0,Unknown,High,IELTS 8.0,Family,30,Clean,US,Family,0,Clear,Passed,89,Paid,39
26.0,Ireland,Australia,Married,3.0,High School,Nurse,31.0,Job Offer,High,IELTS 8.5,PR,30,Clean,US,PR,0,Clear,Passed,61,Paid,46
20.0,Paraguay,South Africa,Single,2.0,Master,Designer,27.0,Job Offer,High,TOEFL 72,Family,30,Clean,Australia,Family,1,Clear,Pending,97,Paid,50
65.0,Norway,Nepal,Married,0.0,High School,Accountant,6.0,Unknown,Medium,TOEFL 63,Family,30,Clean,US,Family,0,Minor Offense,Passed,65,Paid,47
30.0,Brazil,Sweden,Married,2.0,Bachelor,Technician,25.0,University Admission,Medium,TOEFL 110,Work,730,Clean,Australia,Work,1,Clear,Passed,85,Paid,78
57.0,South Korea,South Korea,Single,0.0,High School,Teacher,20.0,Family Sponsor,High,TOEFL 71,Work,730,Clean,UK,Work,0,Clear,Passed,64,Paid,78
49.0,Bangladesh,UK,Married,3.0,Bachelor,Chef,27.0,Unknown,Medium,Unknown,PR,30,Clean,Canada,PR,0,Clear,Passed,69,Paid,46
41.0,Guatemala,Saudi Arabia,Single,3.0,High School,Analyst,17.0,Unknown,Medium,TOEFL 109,Work,730,Rejected,US,Work,1,Clear,Passed,96,Pending,80
42.0,UAE,Tunisia,Single,0.0,Bachelor,Nurse,32.0,Job Offer,Medium,TOEFL 66,Family,30,Clean,US,Family,1,Clear,Passed,77,Paid,49
57.0,Denmark,Nepal,Married,5.0,Bachelor,Analyst,28.0,University Admission,Medium,TOEFL 66,Family,30,Clean,US,Family,0,Clear,Passed,96,Paid,39
62.0,Saudi Arabia,Paraguay,Single,2.0,Bachelor,Designer,19.0,Unknown,Medium,IELTS 8.0,Study,365,Previous Visa,UK,Student,1,Clear,Passed,77,Paid,75
60.0,Saudi Arabia,US,Single,5.0,Bachelor,Sales,19.0,University Admission,Low,IELTS 8.0,Study,365,Previous Visa,US,Student,0,Clear,Passed,84,Paid,63
43.0,Italy,Bangladesh,Single,4.0,Master,Analyst,32.0,Job Offer,Medium,IELTS 5.0,Family,30,Clean,US,Family,0,Clear,Passed,63,Paid,48
56.0,France,Saudi Arabia,Married,2.0,High School,Farmer,20.0,Family Sponsor,Low,IELTS 5.0,Work,730,Clean,Australia,Work,0,Clear,Passed,71,Paid,76
30.0,Singapore,Italy,Married,1.0,High School,Chef,8.0,Family Sponsor,High,IELTS 6.5,Work,730,Clean,Australia,Work,0,Clear,Passed,91,Paid,71
27.0,Canada,Qatar,Single,5.0,Master,Developer,20.0,Family Sponsor,Low,Unknown,PR,30,Clean,UK,PR,0,Clear,Pending,86,Paid,42
63.0,Colombia,US,Married,3.0,Master,Engineer,15.0,Family Sponsor,Medium,TOEFL 75,Tourism,30,Previous Visa,UK,Visitor,0,Clear,Passed,100,Paid,40
26.0,Ghana,Thailand,Married,3.0,Bachelor,Driver,2.0,Job Offer,Medium,IELTS 8.0,Special,30,Clean,UK,Special,0,Clear,Passed,69,Paid,44
28.0,Philippines,Portugal,Single,3.0,High School,Driver,13.0,Job Offer,Low,Unknown,Family,30,Previous Visa,Germany,Family,0,Clear,Passed,86,Paid,41
64.0,Thailand,Greece,Married,2.0,Master,Technician,0.0,Unknown,Medium,TOEFL 101,Work,730,Clean,US,Work,0,Clear,Passed,62,Paid,75
37.0,Germany,Qatar,Divorced,4.0,Master,Analyst,26.0,Unknown,High,Unknown,PR,30,Clean,US,PR,2,Clear,Passed,75,Pending,58
55.0,South Korea,Austria,Single,3.0,Bachelor,Technician,2.0,Unknown,Low,TOEFL 81,Special,30,Previous Visa,Australia,Special,0,Clear,Passed,83,Paid,44
31.0,Tunisia,Argentina,Single,1.0,Bachelor,Farmer,31.0,Family Sponsor,High,Unknown,Special,30,Clean,US,Special,0,Clear,Passed,75,Paid,50
50.0,Argentina,Venezuela,Single,5.0,Bachelor,Sales,6.0,University Admission,Medium,IELTS 8.0,Work,730,Previous Visa,UK,Work,1,Clear,Failed,64,Paid,84
50.0,Singapore,Turkey,Married,2.0,Bachelor,Artist,20.0,Unknown,High,TOEFL 79,Work,730,Previous Visa,US,Work,0,Clear,Passed,79,Paid,74
49.0,US,Uruguay,Married,3.0,PhD,Artist,4.0,Family Sponsor,Low,TOEFL 88,Special,30,Clean,Canada,Special,0,Clear,Passed,70,Paid,45
47.0,Chile,Honduras,Single,2.0,Bachelor,Nurse,20.0,Family Sponsor,High,TOEFL 111,Family,30,Clean,Canada,Family,0,Clear,Passed,77,Paid,38
39.0,Mexico,India,Single,1.0,Master,Nurse,24.0,Job Offer,Medium,TOEFL 66,PR,30,Clean,Canada,PR,0,Clear,Failed,92,Paid,41
38.0,Sri Lanka,Belgium,Married,4.0,Bachelor,Analyst,38.0,Unknown,High,IELTS 5.5,PR,30,Clean,US,PR,2,Clear,Pending,62,Paid,61
38.0,Portugal,Spain,Single,1.0,Bachelor,Developer,9.0,Job Offer,Medium,IELTS 7.5,Work,730,Clean,US,Work,1,Clear,Passed,79,Paid,88
61.0,Paraguay,Argentina,Single,1.0,Bachelor,Sales,0.0,University Admission,Medium,TOEFL 113,Family,30,Clean,UK,Family,0,Clear,Failed,72,Pending,45
37.0,Algeria,Ghana,Single,3.0,Bachelor,Teacher,24.0,Job Offer,Low,IELTS 5.0,Family,30,Previous Visa,US,Family,1,Clear,Passed,79,Paid,52
43.0,Sweden,Morocco,Single,1.0,High School,Sales,0.0,University Admission,Medium,Unknown,Work,730,Clean,US,Work,1,Clear,Pending,79,Paid,81
19.0,Ireland,Ethiopia,Married,3.0,Master,Driver,17.0,Unknown,Medium,IELTS 7.5,Study,365,Clean,Australia,Student,0,Clear,Passed,89,Paid,63
54.0,Venezuela,Switzerland,Divorced,3.0,Master,Student,10.0,Family Sponsor,Medium,TOEFL 110,Work,730,Clean,UK,Work,1,Clear,Passed,95,Paid,81
31.0,Ireland,Austria,Divorced,2.0,Bachelor,Sales,28.0,University Admission,Low,Unknown,Family,30,Previous Visa,Canada,Family,0,Clear,Failed,61,Paid,50
46.0,Mexico,Honduras,Single,1.0,Bachelor,Engineer,40.0,Job Offer,High,TOEFL 115,Family,30,Clean,US,Family,1,Clear,Passed,77,Pending,53
56.0,Norway,Thailand,Single,2.0,Bachelor,Technician,3.0,Job Offer,Medium,IELTS 6.0,Special,30,Previous Visa,Canada,Special,1,Clear,Passed,61,Paid,52
25.0,UK,Saudi Arabia,Single,4.0,Master,Student,24.0,University Admission,Medium,TOEFL 92,Work,730,Clean,US,Work,0,Minor Offense,Passed,76,Paid,79
48.0,Belgium,France,Single,5.0,High School,Doctor,30.0,Job Offer,Low,IELTS 6.0,Work,730,Clean,Australia,Work,0,Clear,Passed,79,Paid,69
42.0,Thailand,Finland,Married,0.0,Master,Nurse,20.0,Family Sponsor,High,IELTS -1.0,Study,365,Clean,US,Student,0,Clear,Passed,88,Paid,69
26.0,Indonesia,Indonesia,Single,5.0,Bachelor,Technician,13.0,Job Offer,Low,IELTS 8.5,Work,730,Clean,UK,Work,0,Clear,Passed,74,Paid,81
61.0,Narnia,Germany,Married,1.0,Bachelor,Teacher,20.0,Job Offer,Medium,Unknown,Special,30,Rejected,US,Unknown,1,Clear,Passed,99,Paid,44
65.0,Greece,Egypt,Single,3.0,High School,Analyst,23.0,Family Sponsor,Medium,IELTS 6.0,Work,730,Clean,Australia,Work,1,Clear,Passed,77,Paid,79
45.0,Argentina,Mexico,Single,5.0,Bachelor,Driver,25.0,Family Sponsor,Medium,IELTS 7.0,Family,30,Clean,Canada,Family,0,Clear,Passed,94,Paid,41
50.0,China,Netherlands,Single,3.0,High School,Developer,24.0,University Admission,Low,IELTS 5.5,Study,365,Clean,Canada,Student,0,Clear,Passed,74,Paid,68
35.0,Singapore,Italy,Single,5.0,High School,Manager,38.0,Unknown,High,IELTS 5.0,Special,30,Previous Visa,US,Special,0,Clear,Passed,69,Paid,41
45.0,Vietnam,Poland,Single,5.0,Master,Artist,28.0,University Admission,High,TOEFL 92,Work,730,Clean,US,Work,0,Clear,Passed,88,Paid,72
52.0,Colombia,Pakistan,Single,0.0,Master,Sales,39.0,University Admission,Medium,IELTS 5.0,Family,30,Previous Visa,Australia,Family,0,Clear,Passed,70,Paid,42
54.0,Ireland,Pakistan,Single,2.0,High School,Nurse,25.0,University Admission,High,IELTS 8.5,Work,730,Clean,US,Work,0,Clear,Passed,95,Paid,72
19.0,Nigeria,Sri Lanka,Single,4.0,Master,Designer,33.0,Family Sponsor,High,Unknown,Work,730,Clean,UK,Work,2,Clear,Passed,83,Paid,84
62.0,Belgium,Switzerland,Single,2.0,PhD,Student,21.0,University Admission,Medium,TOEFL 114,Work,730,Clean,Australia,Work,0,Clear,Passed,99,Waived,74
61.0,Argentina,Venezuela,Single,2.0,Bachelor,Chef,37.0,University Admission,Low,TOEFL 115,Family,30,Previous Visa,US,Family,0,Clear,Passed,72,Paid,43
48.0,Morocco,Belgium,Married,0.0,Master,Teacher,25.0,University Admission,Medium,IELTS 7.0,Tourism,30,Previous Visa,US,Visitor,1,Minor Offense,Passed,89,Paid,53
29.0,Honduras,France,Married,4.0,Bachelor,Driver,12.0,Job Offer,Medium,IELTS 6.0,Study,365,Clean,Germany,Student,0,Clear,Passed,100,Paid,67
33.0,Ireland,Algeria,Single,4.0,Bachelor,Nurse,18.0,University Admission,Low,IELTS 7.0,Study,365,Previous Visa,Canada,Student,2,Clear,Passed,83,Paid,78
31.0,Narnia,Narnia,Widowed,2.0,Master,Chef,10.0,Job Offer,Medium,TOEFL ABC,Tourism,30,Previous Visa,UK,Visitor,2,Clear,Passed,81,Paid,63
25.0,Greece,Honduras,Married,0.0,Bachelor,Technician,39.0,University Admission,Medium,IELTS 5.0,PR,30,Previous Visa,Canada,PR,0,Clear,Passed,90,Paid,45
34.0,Finland,Finland,Married,5.0,Master,Developer,2.0,University Admission,Medium,IELTS 5.5,Study,365,Clean,US,Student,0,Clear,Passed,67,Paid,66
59.0,South Africa,Mexico,Married,1.0,Bachelor,Engineer,17.0,Family Sponsor,Medium,IELTS 7.0,Study,365,Previous Visa,UK,Student,0,Clear,Failed,77,Paid,70
29.0,Bangladesh,Spain,Divorced,4.0,Bachelor,Driver,21.0,Family Sponsor,Low,TOEFL 70,Work,730,Clean,Australia,Work,0,Clear,Pending,67,Paid,77
25.0,Bangladesh,Guatemala,Married,1.0,Bachelor,Driver,33.0,Unknown,Low,IELTS 8.5,Study,365,Rejected,Australia,Student,0,Clear,Failed,96,Paid,68
59.0,Bangladesh,Spain,Married,4.0,Master,Accountant,7.0,University Admission,Medium,IELTS 5.0,Tourism,30,Previous Visa,Canada,Visitor,0,Clear,Passed,92,Paid,42
44.0,Belgium,Switzerland,Married,2.0,High School,Technician,19.0,Family Sponsor,Medium,TOEFL 112,Tourism,30,Clean,UK,Visitor,0,Clear,Passed,64,Paid,48
24.0,Vietnam,South Korea,Married,5.0,Master,Nurse,31.0,Job Offer,Medium,IELTS 5.5,Work,730,Clean,Australia,Work,0,Clear,Passed,87,Paid,74
50.0,Austria,Argentina,Single,3.0,Master,Student,18.0,Family Sponsor,Medium,Unknown,Study,365,Previous Visa,Australia,Student,0,Clear,Passed,82,Pending,69
42.0,South Africa,Narnia,Married,2.0,Master,Technician,28.0,Unknown,Low,IELTS 7.5,Tourism,30,Rejected,Canada,Visitor,2,Clear,Passed,67,Paid,66
47.0,Morocco,Canada,Widowed,3.0,Bachelor,Farmer,32.0,Family Sponsor,Medium,TOEFL 104,Work,730,Clean,Germany,Work,0,Clear,Passed,62,Paid,78
42.0,Unknown,Poland,Single,2.0,High School,Accountant,38.0,Unknown,Low,TOEFL 74,Tourism,30,Previous Visa,Canada,Visitor,0,Minor Offense,Passed,75,Paid,47
59.0,Finland,South Africa,Single,5.0,Bachelor,Analyst,33.0,Unknown,High,IELTS 7.0,Study,365,Clean,US,Student,0,Clear,Pending,69,Paid,71
62.0,New Zealand,Atlantis,Married,2.0,PhD,Developer,31.0,Family Sponsor,Medium,TOEFL 90,Special,30,Rejected,Canada,Special,3,Clear,Passed,83,Paid,65
47.0,Spain,US,Single,3.0,Bachelor,Doctor,35.0,Unknown,Low,Unknown,Tourism,30,Clean,Canada,Visitor,0,Minor Offense,Passed,76,Paid,47
63.0,Honduras,Nepal,Single,3.0,Bachelor,Developer,25.0,Unknown,Medium,TOEFL 63,Tourism,30,Previous Visa,Germany,Visitor,0,Clear,Passed,60,Paid,58
43.0,Australia,Poland,Divorced,5.0,PhD,Artist,19.0,Family Sponsor,High,TOEFL 69,PR,30,Previous Visa,Canada,Visitorrr,1,Clear,Failed,86,Paid,51
26.0,Belgium,Portugal,Divorced,3.0,Bachelor,Engineer,23.0,Job Offer,High,TOEFL 85,PR,30,Clean,Germany,PR,0,Minor Offense,Passed,80,Paid,40
