applicant_id,age,nationality,current_residence,marital_status,dependents,education_level,occupation,work_experience_years,sponsorship_status,financial_status,language_proficiency,purpose_of_travel,intended_duration,travel_history,target_country,visa_category (Label),previous_visa_rejections,criminal_record_check,medical_exam_status,document_completeness_score,visa_fee_payment_status
C47218,27,Germany,Brazil,Married,1,Bachelor,Engineer,26,None,Medium,TOEFL 97,Family,Long-term,Clean,Australia,Family,0,Clear,Passed,90,Pending
C16529,54,Sri Lanka,Oman,Widowed,2,Master,Sales,16,None,Medium,IELTS 6.0,Study,Long-term,Previous Visa,US,Student,0,Clear,Passed,88,Paid
A07616,20,,Peru,Single,5,PhD,Designer,4,Job Offer,High,TOEFL ABC,PR,Short-term,Previous Visa,Australia,Visitorrr,0,Clear,Passed,92,Paid
C78536,25,Switzerland,Canada,Married,0,Bachelor,Nurse,25,Job Offer,Low,TOEFL 60,Work,Long-term,Clean,UK,Work,0,Clear,Passed,98,Pending
A04484,49,US,Narnia,Married,1,High School,Sales,24,Job Offer,Medium,None,Work,Permanent,Rejected,US,,0,Clear,Failed,98,Paid
C103220,19,South Africa,Greece,Married,4,Master,Farmer,0,Family Sponsor,Low,TOEFL 89,PR,Permanent,Clean,Australia,PR,0,Clear,Passed,96,Paid
C02620,53,US,Saudi Arabia,Married,2,Master,Manager,32,Family Sponsor,Medium,IELTS 7.0,PR,Permanent,Previous Visa,Canada,PR,2,Clear,Passed,68,Paid
C57663,39,Kenya,Nigeria,Married,0,Bachelor,Developer,24,Job Offer,High,TOEFL 85,Study,Short-term,Clean,Canada,Student,0,Minor Offense,Passed,78,Paid
C19072,25,Oman,Spain,Married,3,PhD,Sales,0,None,Medium,TOEFL 99,Work,Short-term,Clean,Canada,Work,0,Clear,Failed,79,Paid
C72649,24,Bangladesh,Japan,Single,4,Bachelor,Accountant,9,University Admission,Medium,TOEFL 101,Work,Short-term,Previous Visa,US,Work,0,Clear,Passed,60,Paid
C17793,63,New Zealand,US,Single,3,High School,Designer,23,Job Offer,Medium,TOEFL 98,Work,Short-term,Previous Visa,Australia,Work,0,Clear,Passed,66,Paid
C27054,60,Spain,Uruguay,Single,1,High School,Developer,25,Job Offer,High,None,Tourism,Short-term,Clean,Germany,Visitor,0,Clear,Pending,84,Paid
A00186,25,Egypt,Japan,Divorced,,Master,Manager,8,None,Medium,,Tourism,Short-term,Clean,Australia,,0,Clear,Passed,87,Paid
C06092,31,Philippines,Uruguay,Married,2,Bachelor,Chef,31,Job Offer,Medium,None,Study,Short-term,Rejected,US,Student,2,Clear,Passed,75,Paid
C10745,25,Belgium,Malaysia,Married,2,Master,Doctor,28,None,High,TOEFL 94,PR,Permanent,Clean,Canada,PR,1,Clear,Passed,94,Pending
C101589,44,Uruguay,US,Single,0,High School,Engineer,20,None,Low,IELTS 5.5,Work,Short-term,Previous Visa,Australia,Work,2,Clear,Passed,90,Paid
C54159,55,Australia,Ireland,Married,4,High School,Driver,14,University Admission,Medium,IELTS 8.0,Family,Short-term,Clean,UK,Family,1,Clear,Passed,75,Paid
C38274,47,Sweden,Ethiopia,Widowed,1,Bachelor,Driver,24,Family Sponsor,Low,IELTS 5.0,Study,Short-term,Clean,Canada,Student,0,Clear,Pending,97,Paid
C32115,20,Mexico,Turkey,Single,2,Bachelor,Designer,27,Family Sponsor,Medium,IELTS 7.0,Family,Long-term,Clean,Australia,Family,2,Clear,Passed,65,Waived
C28228,43,Austria,Finland,Single,5,Master,Technician,23,Job Offer,Low,None,PR,Permanent,Rejected,Canada,PR,0,Minor Offense,Passed,78,Paid
C52851,57,Colombia,Sweden,Single,2,Bachelor,Sales,32,Family Sponsor,Low,TOEFL 92,Work,Long-term,Rejected,Germany,Work,0,Clear,Passed,84,Pending
C95498,27,Pakistan,Chile,Single,0,Master,Nurse,37,Job Offer,High,TOEFL 69,Study,Short-term,Clean,Australia,Student,0,Clear,Passed,95,Paid
C26303,28,Colombia,China,Single,3,Bachelor,Analyst,36,None,Medium,IELTS 5.5,Work,Short-term,Clean,Germany,Work,0,Clear,Passed,70,Paid
C48643,57,Belgium,Italy,Single,1,Master,Technician,38,Job Offer,Medium,IELTS 7.5,Work,Long-term,Clean,Australia,Work,0,Clear,Passed,79,Paid
C23719,56,South Korea,Tunisia,Married,5,Bachelor,Technician,1,University Admission,Medium,TOEFL 68,Study,Short-term,Previous Visa,Canada,Student,0,Clear,Passed,84,Paid
C53878,40,UAE,Paraguay,Married,5,Bachelor,Sales,34,University Admission,Medium,None,Study,Short-term,Previous Visa,UK,Student,1,Clear,Passed,78,Paid
C66947,28,South Africa,Greece,Married,1,High School,Doctor,18,Job Offer,Medium,TOEFL 96,Work,Long-term,Previous Visa,Canada,Work,0,Clear,Passed,92,Paid
C105327,22,Colombia,Vietnam,Single,4,Bachelor,Technician,21,None,Medium,TOEFL 84,Tourism,Short-term,Previous Visa,Australia,Visitor,0,Clear,Passed,71,Paid
C81445,29,UK,Netherlands,Single,5,High School,Nurse,7,University Admission,Medium,TOEFL 112,Study,Short-term,Clean,US,Student,0,Clear,Passed,73,Paid
C56220,58,Greece,UK,Married,2,PhD,Engineer,39,University Admission,Medium,IELTS 7.0,PR,Permanent,Clean,Germany,PR,0,Clear,Passed,85,Paid
C53450,54,Japan,Algeria,Divorced,2,Master,Accountant,2,Job Offer,Low,IELTS 5.5,Tourism,Long-term,Clean,Australia,Visitor,1,Clear,Passed,75,Paid
C54209,49,Morocco,Pakistan,Married,2,Bachelor,Analyst,23,None,Medium,IELTS 6.5,Work,Short-term,Clean,UK,Work,0,Clear,Passed,100,Paid
C86165,54,Spain,Guatemala,Single,1,Bachelor,Sales,10,University Admission,High,TOEFL 93,Family,Long-term,Clean,UK,Family,3,Clear,Passed,72,Paid
C87738,63,Ireland,Norway,Married,3,Bachelor,Sales,33,Job Offer,Medium,IELTS 8.0,Work,Short-term,Clean,US,Work,1,Clear,Passed,75,Paid
A06326,unknown,Indonesia,Sri Lanka,Married,3,Bachelor,Accountant,32,University Admission,High,TOEFL 82,Study,Permanent,Rejected,UK,,0,Pending,Passed,91,Paid
C35247,55,Portugal,Chile,Married,1,Bachelor,Manager,22,University Admission,Low,TOEFL 92,PR,Permanent,Clean,Australia,PR,0,Clear,Passed,74,Waived
C00544,62,Philippines,Qatar,Single,5,Bachelor,Farmer,32,Job Offer,Medium,IELTS 6.5,Tourism,Short-term,Previous Visa,UK,Visitor,1,Clear,Passed,64,Paid
C102312,63,Ethiopia,Brazil,Divorced,2,High School,Sales,19,University Admission,Medium,IELTS 5.5,Study,Long-term,Clean,UK,Student,1,Clear,Passed,61,Paid
C107418,60,China,Vietnam,Married,5,Bachelor,Driver,30,University Admission,Medium,IELTS 8.0,Work,Long-term,Previous Visa,US,Work,1,Clear,Pending,73,Paid
C97482,58,Sri Lanka,China,Single,1,Bachelor,Designer,21,University Admission,High,IELTS 8.5,Work,Short-term,Clean,Canada,Work,1,Clear,Pending,86,Paid
C36299,45,Canada,Honduras,Divorced,4,Bachelor,Engineer,16,Job Offer,Medium,IELTS 5.0,Work,Short-term,Clean,Germany,Work,0,Clear,Passed,82,Paid
C55376,47,Nepal,Sweden,Divorced,4,Bachelor,Engineer,29,Job Offer,Medium,TOEFL 97,Study,Long-term,Rejected,Germany,Student,0,Clear,Passed,76,Paid
C02340,32,Chile,New Zealand,Married,4,Bachelor,Nurse,28,None,Low,TOEFL 106,Work,Short-term,Clean,UK,Work,0,Clear,Passed,86,Paid
C24564,59,Egypt,Singapore,Single,5,High School,Student,12,University Admission,Low,IELTS 7.5,Special,Long-term,Clean,Canada,Special,1,Clear,Passed,64,Paid
C84383,26,Turkey,Greece,Married,0,Master,Doctor,22,University Admission,High,TOEFL 70,PR,Permanent,Clean,US,PR,0,Clear,Passed,82,Paid
C95886,19,Indonesia,Honduras,Single,1,Bachelor,Developer,21,Family Sponsor,Medium,IELTS 5.0,PR,Permanent,Clean,Germany,PR,0,Clear,Pending,97,Paid
C18907,47,Australia,Paraguay,Single,2,High School,Teacher,2,Job Offer,Medium,TOEFL 109,Tourism,Short-term,Rejected,UK,Visitor,0,Clear,Passed,78,Paid
C60905,38,Morocco,Kenya,Single,2,Bachelor,Developer,25,None,High,IELTS 8.0,Family,Short-term,Clean,US,Family,0,Clear,Passed,89,Paid
C79138,26,Ireland,Australia,Married,3,High School,Nurse,31,Job Offer,High,IELTS 8.5,PR,Permanent,Clean,US,PR,0,Clear,Passed,61,Paid
C55867,20,Paraguay,South Africa,Single,2,Master,Designer,27,Job Offer,High,TOEFL 72,Family,Long-term,Clean,Australia,Family,1,Clear,Pending,97,Paid
C37916,65,Norway,Nepal,Married,0,High School,Accountant,6,None,Medium,TOEFL 63,Family,Short-term,Clean,US,Family,0,Minor Offense,Passed,65,Paid
C69991,30,Brazil,Sweden,Married,2,Bachelor,Technician,25,University Admission,Medium,TOEFL 110,Work,Short-term,Clean,Australia,Work,1,Clear,Passed,85,Paid
C22603,57,South Korea,South Korea,Single,0,High School,Teacher,20,Family Sponsor,High,TOEFL 71,Work,Short-term,Clean,UK,Work,0,Clear,Passed,64,Paid
C07434,49,Bangladesh,UK,Married,3,Bachelor,Chef,27,None,Medium,None,PR,Permanent,Clean,Canada,PR,0,Clear,Passed,69,Paid
C94522,41,Guatemala,Saudi Arabia,Single,3,High School,Analyst,17,None,Medium,TOEFL 109,Work,Short-term,Rejected,US,Work,1,Clear,Passed,96,Pending
C46184,42,UAE,Tunisia,Single,0,Bachelor,Nurse,32,Job Offer,Medium,TOEFL 66,Family,Long-term,Clean,US,Family,1,Clear,Passed,77,Paid
C29548,57,Denmark,Nepal,Married,5,Bachelor,Analyst,28,University Admission,Medium,TOEFL 66,Family,Short-term,Clean,US,Family,0,Clear,Passed,96,Paid
C29212,62,Saudi Arabia,Paraguay,Single,2,Bachelor,Designer,19,None,Medium,IELTS 8.0,Study,Short-term,Previous Visa,UK,Student,1,Clear,Passed,77,Paid
C31099,60,Saudi Arabia,US,Single,5,Bachelor,Sales,19,University Admission,Low,IELTS 8.0,Study,Long-term,Previous Visa,US,Student,0,Clear,Passed,84,Paid
C63792,43,Italy,Bangladesh,Single,4,Master,Analyst,32,Job Offer,Medium,IELTS 5.0,Family,Long-term,Clean,US,Family,0,Clear,Passed,63,Paid
C67823,56,France,Saudi Arabia,Married,2,High School,Farmer,20,Family Sponsor,Low,IELTS 5.0,Work,Long-term,Clean,Australia,Work,0,Clear,Passed,71,Paid
C30301,30,Singapore,Italy,Married,1,High School,Chef,8,Family Sponsor,High,IELTS 6.5,Work,Short-term,Clean,Australia,Work,0,Clear,Passed,91,Paid
C11467,27,Canada,Qatar,Single,5,Master,Developer,20,Family Sponsor,Low,None,PR,Permanent,Clean,UK,PR,0,Clear,Pending,86,Paid
C02889,63,Colombia,US,Married,3,Master,Engineer,15,Family Sponsor,Medium,TOEFL 75,Tourism,Long-term,Previous Visa,UK,Visitor,0,Clear,Passed,100,Paid
C61086,26,Ghana,Thailand,Married,3,Bachelor,Driver,2,Job Offer,Medium,IELTS 8.0,Special,Long-term,Clean,UK,Special,0,Clear,Passed,69,Paid
C88410,28,Philippines,Portugal,Single,3,High School,Driver,13,Job Offer,Low,None,Family,Short-term,Previous Visa,Germany,Family,0,Clear,Passed,86,Paid
C20691,64,Thailand,Greece,Married,2,Master,Technician,0,None,Medium,TOEFL 101,Work,Short-term,Clean,US,Work,0,Clear,Passed,62,Paid
A07711,37,Germany,Qatar,Divorced,4,Master,Analyst,26,None,High,,PR,Long-term,Clean,US,PR,2,Clear,Passed,75,Pending
C21502,55,South Korea,Austria,Single,3,Bachelor,Technician,2,None,Low,TOEFL 81,Special,Short-term,Previous Visa,Australia,Special,0,Clear,Passed,83,Paid
C92178,31,Tunisia,Argentina,Single,1,Bachelor,Farmer,31,Family Sponsor,High,None,Special,Short-term,Clean,US,Special,0,Clear,Passed,75,Paid
C37871,50,Argentina,Venezuela,Single,5,Bachelor,Sales,6,University Admission,Medium,IELTS 8.0,Work,Long-term,Previous Visa,UK,Work,1,Clear,Failed,64,Paid
C31979,50,Singapore,Turkey,Married,2,Bachelor,Artist,20,None,High,TOEFL 79,Work,Long-term,Previous Visa,US,Work,0,Clear,Passed,79,Paid
C33297,49,US,Uruguay,Married,3,PhD,Artist,4,Family Sponsor,Low,TOEFL 88,Special,Long-term,Clean,Canada,Special,0,Clear,Passed,70,Paid
C72637,47,Chile,Honduras,Single,2,Bachelor,Nurse,20,Family Sponsor,High,TOEFL 111,Family,Short-term,Clean,Canada,Family,0,Clear,Passed,77,Paid
C03283,39,Mexico,India,Single,1,Master,Nurse,24,Job Offer,Medium,TOEFL 66,PR,Permanent,Clean,Canada,PR,0,Clear,Failed,92,Paid
C67931,38,Sri Lanka,Belgium,Married,4,Bachelor,Analyst,38,None,High,IELTS 5.5,PR,Permanent,Clean,US,PR,2,Clear,Pending,62,Paid
C100434,38,Portugal,Spain,Single,1,Bachelor,Developer,9,Job Offer,Medium,IELTS 7.5,Work,Long-term,Clean,US,Work,1,Clear,Passed,79,Paid
C54418,61,Paraguay,Argentina,Single,1,Bachelor,Sales,0,University Admission,Medium,TOEFL 113,Family,Long-term,Clean,UK,Family,0,Clear,Failed,72,Pending
C70716,37,Algeria,Ghana,Single,3,Bachelor,Teacher,24,Job Offer,Low,IELTS 5.0,Family,Short-term,Previous Visa,US,Family,1,Clear,Passed,79,Paid
C13109,43,Sweden,Morocco,Single,1,High School,Sales,0,University Admission,Medium,None,Work,Long-term,Clean,US,Work,1,Clear,Pending,79,Paid
C73413,19,Ireland,Ethiopia,Married,3,Master,Driver,17,None,Medium,IELTS 7.5,Study,Long-term,Clean,Australia,Student,0,Clear,Passed,89,Paid
C35633,54,Venezuela,Switzerland,Divorced,3,Master,Student,10,Family Sponsor,Medium,TOEFL 110,Work,Long-term,Clean,UK,Work,1,Clear,Passed,95,Paid
C83815,31,Ireland,Austria,Divorced,2,Bachelor,Sales,28,University Admission,Low,None,Family,Short-term,Previous Visa,Canada,Family,0,Clear,Failed,61,Paid
C105955,46,Mexico,Honduras,Single,1,Bachelor,Engineer,40,Job Offer,High,TOEFL 115,Family,Short-term,Clean,US,Family,1,Clear,Passed,77,Pending
C93687,56,Norway,Thailand,Single,2,Bachelor,Technician,3,Job Offer,Medium,IELTS 6.0,Special,Short-term,Previous Visa,Canada,Special,1,Clear,Passed,61,Paid
C83146,25,UK,Saudi Arabia,Single,4,Master,Student,24,University Admission,Medium,TOEFL 92,Work,Long-term,Clean,US,Work,0,Minor Offense,Passed,76,Paid
C29164,48,Belgium,France,Single,5,High School,Doctor,30,Job Offer,Low,IELTS 6.0,Work,Long-term,Clean,Australia,Work,0,Clear,Passed,79,Paid
A04240,-5,Thailand,Finland,Married,0,Master,Nurse,20,Family Sponsor,High,IELTS -1.0,Study,Long-term,Clean,US,Student,0,Clear,Passed,88,Paid
C53883,26,Indonesia,Indonesia,Single,5,Bachelor,Technician,13,Job Offer,Low,IELTS 8.5,Work,Short-term,Clean,UK,Work,0,Clear,Passed,74,Paid
A09725,61,Narnia,Germany,Married,1,Bachelor,Teacher,,Job Offer,Medium,None,Special,Permanent,Rejected,US,,1,Clear,Passed,99,Paid
C04578,65,Greece,Egypt,Single,3,High School,Analyst,23,Family Sponsor,Medium,IELTS 6.0,Work,Long-term,Clean,Australia,Work,1,Clear,Passed,77,Paid
C81018,45,Argentina,Mexico,Single,5,Bachelor,Driver,25,Family Sponsor,Medium,IELTS 7.0,Family,Short-term,Clean,Canada,Family,0,Clear,Passed,94,Paid
C07032,50,China,Netherlands,Single,3,High School,Developer,24,University Admission,Low,IELTS 5.5,Study,Short-term,Clean,Canada,Student,0,Clear,Passed,74,Paid
C20866,35,Singapore,Italy,Single,5,High School,Manager,38,None,High,IELTS 5.0,Special,Long-term,Previous Visa,US,Special,0,Clear,Passed,69,Paid
C89665,45,Vietnam,Poland,Single,5,Master,Artist,28,University Admission,High,TOEFL 92,Work,Short-term,Clean,US,Work,0,Clear,Passed,88,Paid
C25376,52,Colombia,Pakistan,Single,0,Master,Sales,39,University Admission,Medium,IELTS 5.0,Family,Short-term,Previous Visa,Australia,Family,0,Clear,Passed,70,Paid
C52688,54,Ireland,Pakistan,Single,2,High School,Nurse,25,University Admission,High,IELTS 8.5,Work,Short-term,Clean,US,Work,0,Clear,Passed,95,Paid
C36073,19,Nigeria,Sri Lanka,Single,4,Master,Designer,33,Family Sponsor,High,None,Work,Short-term,Clean,UK,Work,2,Clear,Passed,83,Paid
C00675,62,Belgium,Switzerland,Single,2,PhD,Student,21,University Admission,Medium,TOEFL 114,Work,Short-term,Clean,Australia,Work,0,Clear,Passed,99,Waived
C48400,61,Argentina,Venezuela,Single,2,Bachelor,Chef,37,University Admission,Low,TOEFL 115,Family,Long-term,Previous Visa,US,Family,0,Clear,Passed,72,Paid
C03734,48,Morocco,Belgium,Married,0,Master,Teacher,25,University Admission,Medium,IELTS 7.0,Tourism,Short-term,Previous Visa,US,Visitor,1,Minor Offense,Passed,89,Paid
C23445,29,Honduras,France,Married,4,Bachelor,Driver,12,Job Offer,Medium,IELTS 6.0,Study,Short-term,Clean,Germany,Student,0,Clear,Passed,100,Paid
C97542,33,Ireland,Algeria,Single,4,Bachelor,Nurse,18,University Admission,Low,IELTS 7.0,Study,Long-term,Previous Visa,Canada,Student,2,Clear,Passed,83,Paid
A00683,31,Narnia,Narnia,Widowed,2,Master,Chef,10,Job Offer,Medium,TOEFL ABC,Tourism,Long-term,Previous Visa,UK,Visitor,2,Clear,Passed,81,Paid
C60584,25,Greece,Honduras,Married,0,Bachelor,Technician,39,University Admission,Medium,IELTS 5.0,PR,Permanent,Previous Visa,Canada,PR,0,Clear,Passed,90,Paid
C77822,34,Finland,Finland,Married,5,Master,Developer,2,University Admission,Medium,IELTS 5.5,Study,Short-term,Clean,US,Student,0,Clear,Passed,67,Paid
C53984,59,South Africa,Mexico,Married,1,Bachelor,Engineer,17,Family Sponsor,Medium,IELTS 7.0,Study,Short-term,Previous Visa,UK,Student,0,Clear,Failed,77,Paid
C16436,29,Bangladesh,Spain,Divorced,4,Bachelor,Driver,21,Family Sponsor,Low,TOEFL 70,Work,Short-term,Clean,Australia,Work,0,Clear,Pending,67,Paid
C87365,25,Bangladesh,Guatemala,Married,1,Bachelor,Driver,33,None,Low,IELTS 8.5,Study,Short-term,Rejected,Australia,Student,0,Clear,Failed,96,Paid
C48215,59,Bangladesh,Spain,Married,4,Master,Accountant,7,University Admission,Medium,IELTS 5.0,Tourism,Short-term,Previous Visa,Canada,Visitor,0,Clear,Passed,92,Paid
C14965,44,Belgium,Switzerland,Married,2,High School,Technician,19,Family Sponsor,Medium,TOEFL 112,Tourism,Short-term,Clean,UK,Visitor,0,Clear,Passed,64,Paid
C44268,24,Vietnam,South Korea,Married,5,Master,Nurse,31,Job Offer,Medium,IELTS 5.5,Work,Long-term,Clean,Australia,Work,0,Clear,Passed,87,Paid
C87888,50,Austria,Argentina,Single,3,Master,Student,18,Family Sponsor,Medium,None,Study,Short-term,Previous Visa,Australia,Student,0,Clear,Passed,82,Pending
A03034,unknown,South Africa,Narnia,Married,five,Master,Technician,28,None,Low,IELTS 7.5,Tourism,Long-term,Rejected,Canada,Visitor,2,Clear,Passed,67,Paid
C04976,47,Morocco,Canada,Widowed,3,Bachelor,Farmer,32,Family Sponsor,Medium,TOEFL 104,Work,Long-term,Clean,Germany,Work,0,Clear,Passed,62,Paid
A09491,120,,Poland,Single,2,High School,Accountant,38,None,Low,TOEFL 74,Tourism,Short-term,Previous Visa,Canada,Visitor,0,Minor Offense,Passed,75,Paid
C109344,59,Finland,South Africa,Single,5,Bachelor,Analyst,33,None,High,IELTS 7.0,Study,Short-term,Clean,US,Student,0,Clear,Pending,69,Paid
A01234,62,New Zealand,Atlantis,Married,2,PhD,Developer,31,Family Sponsor,Medium,TOEFL 90,Special,Short-term,Rejected,Canada,Special,3,Clear,Passed,83,Paid
C40715,47,Spain,US,Single,3,Bachelor,Doctor,35,None,Low,None,Tourism,Long-term,Clean,Canada,Visitor,0,Minor Offense,Passed,76,Paid
C16606,63,Honduras,Nepal,Single,3,Bachelor,Developer,25,None,Medium,TOEFL 63,Tourism,Long-term,Previous Visa,Germany,Visitor,0,Clear,Passed,60,Paid
A05211,43,Australia,Poland,Divorced,5,PhD,Artist,19,Family Sponsor,High,TOEFL 69,PR,Long-term,Previous Visa,Canada,Visitorrr,1,Clear,Failed,86,Paid
C85504,26,Belgium,Portugal,Divorced,3,Bachelor,Engineer,23,Job Offer,High,TOEFL 85,PR,Permanent,Clean,Germany,PR,0,Minor Offense,Passed,80,Paid
C82020,21,Ghana,Algeria,Single,2,Master,Analyst,37,Family Sponsor,Medium,IELTS 8.5,Work,Short-term,Rejected,Australia,Work,1,Minor Offense,Failed,67,Paid
C08242,58,Singapore,Algeria,Married,3,High School,Driver,5,Family Sponsor,Medium,None,Tourism,Short-term,Previous Visa,Australia,Visitor,0,Minor Offense,Passed,96,Paid
C20206,35,India,Singapore,Married,0,High School,Designer,26,University Admission,Medium,IELTS 5.5,Study,Long-term,Clean,UK,Student,0,Clear,Passed,78,Paid
C85127,23,Vietnam,South Africa,Single,1,Master,Analyst,1,University Admission,Low,TOEFL 107,Family,Short-term,Clean,Canada,Family,0,Clear,Passed,83,Paid
